pid,year,month,day,weight,quantity,value
P002,2020,3,20,89676,0,5660751
P002,2020,3,30,89696,0,5757381
P002,2020,4,10,120769,0,6309390
P002,2020,4,20,108685,0,5553005
P002,2020,4,30,80564,0,7427961
P002,2020,5,10,86728,0,4726741
P002,2020,5,20,120008,0,6043181
P002,2020,5,30,68303,0,3958618
P002,2020,6,10,176094,0,8500647
P002,2020,6,20,134634,0,7106434
P002,2020,6,30,81447,0,6459421
P002,2020,7,10,101721,0,6657551
P002,2020,7,20,66390,0,3220205
P002,2020,7,30,70955,0,5218131
P002,2020,8,10,105855,0,5724822
P002,2020,8,20,87596,0,4810304
P002,2020,8,30,67102,0,4182732
P002,2020,9,10,94692,0,5537165
P002,2020,9,20,77171,0,3757596
P002,2020,9,30,76110,0,5009543
P002,2020,10,10,56227,0,2937716
P002,2020,10,20,125124,0,6827014
P002,2020,10,30,33753,0,4330689
P002,2020,11,10,73687,0,4851551
P002,2020,11,20,63621,0,3729718
P002,2020,11,30,75103,0,4215820
P002,2020,12,10,79509,0,5386452
P002,2020,12,20,34778,0,3257056
P002,2020,12,30,76616,0,4138134
P002,2021,1,10,31753,0,2517462
P002,2021,1,20,62357,0,6030905
P002,2021,1,30,49341,0,2873322
P002,2021,2,10,56075,0,4593767
P002,2021,2,20,62393,0,3180793
P002,2021,2,30,24295,0,2802406
P002,2021,3,10,120451,0,6189021
P002,2021,3,20,85336,0,3632991
P002,2021,3,30,85758,0,4329628
P002,2021,4,10,130155,0,4774117
P002,2021,4,20,37066,0,2868994
P002,2021,4,30,62907,0,3767081
P002,2021,5,10,64224,0,3528277
P002,2021,5,20,58425,0,3389111
P002,2021,5,30,96983,0,4908940
P002,2021,6,10,73446,0,4059818
P002,2021,6,20,70727,0,2804001
P002,2021,6,30,87805,0,5314379
P002,2021,7,10,128470,0,4130027
P002,2021,7,20,73830,0,4600269
P002,2021,7,30,96975,0,5562213
P002,2021,8,10,59089,0,4076733
P002,2021,8,20,76580,0,4173963
P002,2021,8,30,155074,0,4990383
P002,2021,9,10,111875,0,5060026
P002,2021,9,20,48504,0,2563089
P002,2021,9,30,67285,0,2877782
P002,2021,10,10,105460,0,5337212
P002,2021,10,20,143181,0,6324293
P002,2021,10,30,81795,0,3721304
P002,2021,11,10,89315,0,4006542
P002,2021,11,20,188932,0,8153702
P002,2021,11,30,69126,0,3970402
P002,2021,12,10,82205,0,5454208
P002,2021,12,20,173071,0,6194766
P002,2021,12,30,49187,0,4155202
P002,2022,1,10,43091,0,3098482
P002,2022,1,20,99050,0,5006515
P002,2022,1,30,124854,0,5212025
P002,2022,2,10,193359,0,6614301
P002,2022,2,20,74491,0,3694649
P002,2022,2,30,82568,0,4228153
P002,2022,3,10,202102,0,6637144
P002,2022,3,20,180462,0,5967819
P002,2022,3,30,116521,0,5370610
P002,2022,4,10,97942,0,5611404
P002,2022,4,20,235877,0,8121581
P002,2022,4,30,76598,0,5100561
P002,2022,5,10,185418,0,7141910
P002,2022,5,20,97589,0,5642128
P002,2022,5,30,120193,0,5968087
P002,2022,6,10,205242,0,8055574
P002,2022,6,20,142692,0,6413117
